Episode,Score,Invalid Moves,Highest Tile,Total Reward
1,2224,0,256,2224
2,1424,0,128,1424
3,2676,0,256,2676
4,1448,0,128,1448
5,500,0,64,500
6,1364,0,128,1364
7,536,0,64,536
8,1144,0,128,1144
9,696,0,64,696
10,1432,0,128,1432
11,696,0,64,696
12,2756,0,256,2756
13,712,0,64,712
14,1016,0,128,1016
15,840,0,64,840
16,1472,0,128,1472
17,688,0,64,688
18,632,0,64,632
19,1792,0,128,1792
20,736,0,64,736
21,376,0,32,376
22,2088,0,256,2088
23,528,0,64,528
24,1460,0,128,1460
25,1136,0,128,1136
26,812,0,64,812
27,1132,0,128,1132
28,268,0,32,268
29,1336,0,128,1336
30,652,0,64,652
31,284,0,32,284
32,1136,0,128,1136
33,2364,0,256,2364
34,1408,0,128,1408
35,2300,0,256,2300
36,1172,0,128,1172
37,968,0,64,968
38,1432,0,128,1432
39,628,0,64,628
40,1340,0,128,1340
41,1400,0,128,1400
42,896,0,64,896
43,1068,0,128,1068
44,780,0,64,780
45,1024,0,64,1024
46,1308,0,128,1308
47,776,0,64,776
48,1384,0,128,1384
49,1364,0,128,1364
50,1104,0,128,1104
51,704,0,64,704
52,684,0,64,684
53,796,0,64,796
54,728,0,64,728
55,1136,0,128,1136
56,1424,0,128,1424
57,1400,0,128,1400
58,1036,0,128,1036
59,524,0,64,524
60,312,0,32,312
61,816,0,64,816
62,1536,0,128,1536
63,892,0,128,892
64,1236,0,128,1236
65,1388,0,128,1388
66,1064,0,128,1064
67,964,0,64,964
68,1444,0,128,1444
69,944,0,64,944
70,1500,0,128,1500
71,1336,0,128,1336
72,768,0,64,768
73,720,0,64,720
74,1756,0,128,1756
75,1352,0,128,1352
76,1024,0,128,1024
77,240,0,32,240
78,732,0,64,732
79,1580,0,128,1580
80,696,0,64,696
81,820,0,64,820
82,896,0,64,896
83,1376,0,128,1376
84,2416,0,256,2416
85,584,0,64,584
86,668,0,64,668
87,524,0,32,524
88,1372,0,128,1372
89,1436,0,128,1436
90,1376,0,128,1376
91,1480,0,128,1480
92,1380,0,128,1380
93,772,0,64,772
94,612,0,64,612
95,1348,0,128,1348
96,2360,0,256,2360
97,2980,0,256,2980
98,1040,0,128,1040
99,1416,0,128,1416
100,1720,0,128,1720
101,1296,0,128,1296
102,784,0,64,784
103,752,0,64,752
104,720,0,64,720
