Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1476,0,128,242.7852659416448,0.97
2,576,0,64,108.41509250280538,0.9409
3,1696,0,128,266.1466618701411,0.912673
4,1500,0,128,234.38301165039783,0.8852928099999999
5,788,0,64,147.8657394608676,0.8587340256999999
6,1768,0,128,275.3412775663686,0.8329720049289999
7,480,0,64,94.91467411761194,0.8079828447811299
8,672,0,64,125.22268397395436,0.783743359437696
9,448,0,32,104.16503420260494,0.7602310586545651
10,1324,0,128,202.9915222368055,0.7374241268949281
11,1308,0,128,198.88690874351445,0.7153014030880802
12,692,0,64,132.66460161893212,0.6938423609954378
13,860,0,64,159.05930110254027,0.6730270901655747
14,664,0,64,125.57547204377467,0.6528362774606075
15,1416,0,128,216.53381233307917,0.6332511891367892
16,628,0,64,124.63722840274018,0.6142536534626856
17,2280,0,256,397.50982774534157,0.595826043858805
18,996,0,64,183.36875092231236,0.5779512625430409
19,688,0,64,129.96813003576534,0.5606127246667496
20,720,0,64,136.060711781517,0.5437943429267471
21,1520,0,128,256.29337206098296,0.5274805126389447
22,1048,0,128,162.57201128438476,0.5116560972597763
23,2300,0,256,401.74342135120696,0.496306414341983
24,1100,0,64,185.91314490200844,0.48141722191172354
25,332,0,32,69.11503168415612,0.4669747052543718
26,1856,0,128,291.19260797732517,0.4529654640967406
27,368,0,32,76.81094318449647,0.4393765001738384
28,1372,0,128,228.45448564413894,0.42619520516862325
29,2544,0,256,459.00111475176993,0.4134093490135645
30,532,0,64,100.55465396051603,0.4010070685431576
31,2468,0,256,446.0528741500616,0.38897685648686287
32,1360,0,128,207.58490225503516,0.377307550792257
33,1736,0,128,279.4097424177363,0.36598832426848926
34,396,0,64,70.41996565738793,0.35500867454043455
35,576,0,32,121.15085141423499,0.3443584143042215
36,424,0,32,87.55469518058165,0.3340276618750948
37,692,0,64,125.08106028494339,0.32400683201884195
38,596,0,64,119.45817879431956,0.3142866270582767
39,720,0,64,138.27736761039145,0.3048580282465284
40,880,0,64,154.11713094735688,0.2957122873991326
41,480,0,64,87.11732574829489,0.2868409187771586
42,760,0,64,135.59092979587416,0.27823569121384384
43,616,0,64,109.52535564517525,0.2698886204774285
44,1196,0,128,186.54679270145613,0.26179196186310566
45,636,0,64,108.07954432389114,0.2539382030072125
46,868,0,64,149.45910297869074,0.2463200569169961
47,2392,0,256,404.0746805056609,0.23893045520948622
48,1132,0,128,176.01884525457018,0.23176254155320164
49,1224,0,128,182.58387737320172,0.2248096653066056
50,1192,0,128,190.1359811857689,0.21806537534740741
51,1596,0,128,256.3854224250794,0.2115234140869852
52,1312,0,128,207.46573754580248,0.20517771166437562
53,88,0,16,25.296710711443218,0.19902238031444436
54,904,0,64,149.8793975215281,0.19305170890501103
55,712,0,64,128.34561582426846,0.1872601576378607
56,1268,0,64,208.39342822954876,0.18164235290872485
57,976,0,64,175.06523742919958,0.1761930823214631
58,884,0,64,161.73894096696725,0.17090728985181922
