Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,296,13,32,190,0.995
2,956,19,128,800,0.990025
3,1336,21,128,1860,0.985074875
1,1464,34,128,920,0.995
2,816,29,64,1350,0.990025
3,1880,31,128,2740,0.985074875
4,728,16,64,3480,0.9801495006250001
5,1980,26,256,4830,0.9752487531218751
6,1032,16,128,5760,0.9703725093562657
7,972,19,64,6540,0.9655206468094844
1,1448,27,128,1090,0.8
2,620,9,64,1670,0.6400000000000001
3,1200,58,128,1020,0.5120000000000001
4,568,64,64,-1650,0.4096000000000001
5,968,86,64,-3750,0.3276800000000001
6,1280,118,128,-10460,0.2621440000000001
7,440,43,32,-11230,0.20971520000000007
8,528,7,64,-10900,0.1677721600000001
9,1752,170,128,-19060,0.13421772800000006
10,780,195,64,-34550,0.10737418240000006
1,1376,22,128,1260,0.8
2,1356,50,128,330,0.6400000000000001
3,1116,58,128,-780,0.5120000000000001
4,1344,71,128,-350,0.4096000000000001
5,1044,70,128,-2640,0.3276800000000001
6,580,47,64,-630,0.2621440000000001
7,1164,122,128,-3420,0.20971520000000007
8,1636,267,128,-19260,0.1677721600000001
9,868,171,64,-12830,0.13421772800000006
10,476,166,64,-15260,0.10737418240000006
11,572,62,64,-2480,0.08589934592000005
12,1092,335,128,-52540,0.06871947673600004
13,808,137,64,-7710,0.054975581388800036
14,1000,446,128,-80500,0.043980465111040035
15,592,200,64,-21310,0.03518437208883203
16,496,181,64,-25910,0.028147497671065624
17,756,516,64,-98530,0.022517998136852502
18,1364,369,128,-46420,0.018014398509482003
19,1436,634,128,-220470,0.014411518807585602
20,2020,837,256,-334840,0.011529215046068483
21,892,271,64,-47910,0.009223372036854787
22,724,197,64,-22810,0.00737869762948383
23,688,490,64,-77650,0.005902958103587064
24,1556,640,128,-234620,0.004722366482869652
25,688,353,64,-83100,0.0037778931862957215
26,836,309,64,-61890,0.0030223145490365774
27,572,177,64,-27230,0.002417851639229262
28,948,293,64,-41130,0.0019342813113834097
29,544,150,64,-15000,0.0015474250491067279
30,864,322,64,-74910,0.0012379400392853823
31,908,268,64,-35580,0.0009903520314283058
32,460,308,64,-48620,0.0007922816251426448
33,568,307,64,-45530,0.0006338253001141158
34,456,96,64,-17340,0.0005070602400912927
35,512,150,64,-19490,0.00040564819207303417
36,668,287,64,-89300,0.00032451855365842736
37,468,40,32,-1440,0.00025961484292674194
38,192,67,16,-7200,0.00020769187434139353
39,476,418,64,-58590,0.00016615349947311485
40,724,308,64,-79780,0.00013292279957849188
41,1448,782,128,-136810,0.00010633823966279351
42,444,181,32,-32720,8.507059173023481e-05
43,304,77,32,-7040,6.805647338418786e-05
44,704,228,64,-30190,5.444517870735029e-05
45,144,25,16,-1540,4.355614296588023e-05
46,608,609,64,-379620,3.484491437270419e-05
47,388,474,32,-141350,2.7875931498163353e-05
48,620,496,64,-158850,2.2300745198530684e-05
49,1372,859,128,-320990,1.7840596158824548e-05
50,1124,672,128,-219750,1.4272476927059638e-05
51,792,458,64,-129500,1.1417981541647711e-05
52,408,344,32,-184390,9.13438523331817e-06
53,800,903,64,-453950,7.307508186654536e-06
54,584,348,64,-90520,5.846006549323629e-06
55,1000,833,64,-560650,4.676805239458904e-06
56,228,464,32,-487730,3.741444191567123e-06
57,580,314,64,-111490,2.9931553532536988e-06
58,144,96,16,-25950,2.394524282602959e-06
59,948,514,64,-112300,1.9156194260823675e-06
60,300,271,32,-219640,1.532495540865894e-06
61,904,352,64,-75980,1.2259964326927152e-06
62,816,301,64,-72820,9.807971461541723e-07
63,852,629,64,-193390,7.846377169233378e-07
64,968,512,128,-189080,6.277101735386703e-07
65,372,236,32,-82190,5.021681388309362e-07
66,752,234,64,-37700,4.0173451106474904e-07
67,556,225,64,-43580,3.2138760885179925e-07
68,1284,450,128,-181080,2.571100870814394e-07
69,1112,435,128,-61370,2.0568806966515154e-07
70,708,420,64,-221770,1.6455045573212124e-07
71,1028,582,64,-107180,1.31640364585697e-07
72,432,162,32,-23030,1.053122916685576e-07
73,192,128,16,-27680,8.424983333484609e-08
74,1124,552,128,-137800,6.739986666787687e-08
75,904,591,64,-507720,5.39198933343015e-08
76,1112,466,128,-74240,4.3135914667441206e-08
77,1008,729,128,-285730,3.450873173395297e-08
78,392,527,32,-282950,2.7606985387162374e-08
79,1116,704,128,-290880,2.20855883097299e-08
80,736,785,64,-581500,1.7668470647783922e-08
81,452,187,64,-21010,1.4134776518227139e-08
82,668,317,64,-45590,1.130782121458171e-08
83,280,257,32,-39900,9.04625697166537e-09
84,284,148,32,-16450,7.2370055773322956e-09
85,1292,539,128,-73270,5.789604461865837e-09
86,656,699,64,-489050,4.63168356949267e-09
87,408,593,32,-638520,3.705346855594136e-09
88,1068,401,64,-87940,2.964277484475309e-09
89,592,442,64,-158750,2.3714219875802474e-09
90,580,165,64,-16080,1.897137590064198e-09
91,708,337,64,-91560,1.5177100720513585e-09
92,724,507,64,-85130,1.2141680576410869e-09
93,292,169,32,-17660,9.713344461128696e-10
94,784,337,64,-43740,7.770675568902957e-10
95,656,159,64,-10210,6.216540455122366e-10
96,684,372,64,-184180,4.973232364097893e-10
97,2036,576,256,-49630,3.9785858912783145e-10
