Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1372,0,128,1390,0.8
2,544,0,32,670,0.6400000000000001
3,924,0,64,1080,0.5120000000000001
4,564,0,64,640,0.4096000000000001
5,2620,0,256,2410,0.3276800000000001
6,1472,0,128,1570,0.2621440000000001
7,2480,0,256,2260,0.20971520000000007
8,364,0,32,450,0.1677721600000001
9,1396,0,128,1360,0.13421772800000006
10,284,0,32,400,0.10737418240000006
11,976,0,64,1050,0.1
12,3808,0,256,3230,0.1
13,576,0,32,750,0.1
14,1156,0,128,1190,0.1
15,1088,0,128,1180,0.1
16,1668,0,128,1710,0.1
17,2056,0,128,1950,0.1
18,1156,0,64,1340,0.1
19,476,0,32,660,0.1
20,648,0,64,820,0.1
21,3544,0,256,3130,0.1
22,1444,0,128,1430,0.1
23,1404,0,128,1530,0.1
24,1900,0,128,2090,0.1
25,3364,0,256,2950,0.1
26,3036,0,256,2610,0.1
27,1684,0,128,1820,0.1
28,2428,0,256,2160,0.1
29,2436,0,256,2160,0.1
30,1128,0,128,1090,0.1
31,2788,0,256,2350,0.1
32,916,0,64,1050,0.1
33,804,0,64,960,0.1
34,2996,0,256,2740,0.1
35,1480,0,128,1510,0.1
36,1736,0,128,1730,0.1
37,2084,0,128,2210,0.1
38,508,0,32,650,0.1
39,676,0,64,840,0.1
40,576,0,64,700,0.1
41,724,0,64,920,0.1
42,2496,0,256,2290,0.1
43,2076,0,128,1990,0.1
44,1484,0,128,1470,0.1
45,1392,0,128,1420,0.1
46,1476,0,128,1540,0.1
47,3160,0,256,2730,0.1
48,1600,0,128,1600,0.1
49,2252,0,256,1930,0.1
50,1432,0,128,1480,0.1
51,1116,0,128,1160,0.1
52,1188,0,128,1140,0.1
53,1444,0,128,1530,0.1
54,1396,0,128,1480,0.1
55,712,0,64,900,0.1
56,1356,0,128,1340,0.1
57,1748,0,128,1800,0.1
58,1340,0,128,1340,0.1
59,3560,0,256,3290,0.1
60,1228,0,128,1210,0.1
61,2492,0,256,2210,0.1
62,3520,0,256,3220,0.1
63,4144,0,256,3380,0.1
64,1688,0,128,1760,0.1
65,868,0,64,920,0.1
66,968,0,64,1170,0.1
67,720,0,64,900,0.1
68,1480,0,128,1580,0.1
69,604,0,64,740,0.1
70,1512,0,128,1600,0.1
71,624,0,64,810,0.1
72,1248,0,64,1380,0.1
73,1568,0,128,1680,0.1
74,2528,0,256,2260,0.1
75,624,0,64,730,0.1
76,1972,0,128,2080,0.1
77,712,0,64,910,0.1
78,304,0,32,440,0.1
79,1272,0,128,1280,0.1
80,1844,0,128,1940,0.1
81,3296,0,256,2890,0.1
82,1072,0,128,1100,0.1
83,1160,0,128,1250,0.1
84,3324,0,256,3030,0.1
85,2448,0,128,2380,0.1
86,1272,0,128,1290,0.1
87,704,0,64,860,0.1
88,696,0,64,810,0.1
89,2124,0,128,2240,0.1
90,3024,0,256,2600,0.1
91,908,0,128,870,0.1
92,1484,0,64,1650,0.1
93,1000,0,64,1120,0.1
94,880,0,64,1020,0.1
95,3880,0,256,3170,0.1
96,1508,0,128,1550,0.1
97,1284,0,128,1190,0.1
98,2352,0,256,2020,0.1
99,1528,0,128,1630,0.1
100,3128,0,256,2780,0.1
101,1252,0,128,1300,0.1
102,1984,0,128,1780,0.1
103,1320,0,128,1310,0.1
104,3204,0,256,2820,0.1
105,1136,0,128,1200,0.1
106,1468,0,128,1560,0.1
107,1240,0,64,1440,0.1
108,1660,0,128,1730,0.1
109,688,0,64,860,0.1
110,908,0,64,1080,0.1
111,2348,0,256,2010,0.1
112,848,0,64,1040,0.1
113,888,0,64,1060,0.1
114,388,0,32,570,0.1
115,1436,0,128,1530,0.1
116,3088,0,256,2780,0.1
117,1184,0,64,1370,0.1
118,1280,0,128,1370,0.1
119,2596,0,256,2270,0.1
120,1468,0,128,1470,0.1
121,912,0,64,1040,0.1
122,616,0,64,710,0.1
123,5012,0,512,3720,0.1
124,1152,0,128,1120,0.1
125,1756,0,128,1910,0.1
126,1816,0,128,1850,0.1
127,780,0,64,920,0.1
128,832,0,64,990,0.1
129,2020,0,256,1720,0.1
130,1992,0,128,2130,0.1
131,1056,0,128,1000,0.1
132,2232,0,128,2200,0.1
133,1640,0,128,1680,0.1
134,920,0,64,1110,0.1
135,3040,0,256,2600,0.1
136,3116,0,256,2730,0.1
137,1452,0,128,1530,0.1
138,832,0,64,960,0.1
139,1800,0,128,1920,0.1
140,984,0,64,1120,0.1
141,1924,0,128,1890,0.1
142,4776,0,512,3620,0.1
143,1416,0,128,1430,0.1
144,1436,0,128,1430,0.1
145,2328,0,128,2290,0.1
146,472,0,64,570,0.1
147,3188,0,256,2760,0.1
148,1196,0,64,1430,0.1
149,1228,0,128,1380,0.1
150,1380,0,128,1420,0.1
151,876,0,64,910,0.1
152,2852,0,256,2490,0.1
153,2392,0,128,2290,0.1
154,2168,0,256,1950,0.1
155,1484,0,128,1570,0.1
156,1400,0,128,1430,0.1
157,1400,0,128,1420,0.1
158,464,0,32,650,0.1
159,1436,0,128,1490,0.1
160,1160,0,64,1330,0.1
161,1504,0,128,1650,0.1
162,5564,0,512,4140,0.1
163,2540,0,256,2250,0.1
164,2276,0,256,2010,0.1
165,960,0,64,1080,0.1
166,3160,0,256,2890,0.1
167,1340,0,128,1300,0.1
168,1472,0,128,1550,0.1
169,1348,0,128,1400,0.1
170,3108,0,256,2740,0.1
171,1712,0,128,1600,0.1
172,464,0,32,610,0.1
173,1968,0,128,1960,0.1
174,1060,0,64,1150,0.1
175,1056,0,128,1070,0.1
176,1244,0,128,1340,0.1
177,1880,0,128,1800,0.1
178,1512,0,128,1520,0.1
179,1732,0,128,1850,0.1
180,1324,0,128,1350,0.1
181,2308,0,256,1980,0.1
182,1920,0,128,2040,0.1
183,1524,0,128,1520,0.1
184,1656,0,128,1680,0.1
185,2380,0,256,2170,0.1
186,1732,0,128,1760,0.1
187,744,0,64,870,0.1
188,1632,0,128,1690,0.1
189,2372,0,256,2140,0.1
190,1084,0,128,1120,0.1
191,976,0,64,1080,0.1
192,1616,0,128,1730,0.1
193,2908,0,256,2570,0.1
194,1608,0,128,1610,0.1
195,1360,0,128,1350,0.1
196,1028,0,64,1190,0.1
197,676,0,64,840,0.1
198,1400,0,128,1610,0.1
199,548,0,64,720,0.1
200,1432,0,128,1470,0.1
201,360,0,32,520,0.1
202,948,0,64,1090,0.1
203,1660,0,128,1790,0.1
204,1180,0,64,1430,0.1
205,1704,0,128,1690,0.1
206,1376,0,128,1490,0.1
207,1920,0,128,2000,0.1
208,3352,0,256,2980,0.1
209,1264,0,64,1480,0.1
210,2312,0,256,1970,0.1
211,568,0,64,630,0.1
212,1116,0,128,1130,0.1
213,1200,0,128,1180,0.1
214,2056,0,128,2000,0.1
215,1732,0,128,1760,0.1
216,2808,0,256,2520,0.1
217,1668,0,128,1670,0.1
218,1740,0,128,1910,0.1
219,1004,0,64,1110,0.1
220,828,0,64,960,0.1
221,3424,0,256,3080,0.1
222,664,0,64,760,0.1
223,2808,0,256,2610,0.1
224,1628,0,128,1640,0.1
225,620,0,64,780,0.1
226,880,0,64,980,0.1
227,900,0,64,990,0.1
228,1048,0,128,1050,0.1
229,1488,0,128,1660,0.1
230,2180,0,128,2320,0.1
231,2252,0,128,2280,0.1
232,3000,0,256,2730,0.1
233,1848,0,128,2040,0.1
234,1968,0,128,1810,0.1
235,2064,0,128,2060,0.1
236,2300,0,256,1960,0.1
237,940,0,64,1080,0.1
238,1312,0,128,1290,0.1
239,1440,0,128,1510,0.1
240,1068,0,64,1230,0.1
241,1128,0,64,1300,0.1
242,1588,0,128,1610,0.1
243,1032,0,128,1060,0.1
244,772,0,64,980,0.1
245,1032,0,64,1220,0.1
246,1500,0,128,1430,0.1
247,588,0,32,820,0.1
248,2556,0,256,2210,0.1
249,1460,0,128,1350,0.1
250,1536,0,128,1700,0.1
251,1148,0,128,1250,0.1
252,2752,0,256,2480,0.1
253,1584,0,128,1630,0.1
254,520,0,64,660,0.1
255,2480,0,256,2210,0.1
256,2368,0,256,2070,0.1
257,1768,0,128,1790,0.1
258,760,0,64,880,0.1
259,1508,0,128,1550,0.1
260,3236,0,256,2810,0.1
261,2988,0,256,2700,0.1
262,3196,0,256,2820,0.1
263,804,0,64,970,0.1
264,1736,0,128,1760,0.1
265,1672,0,128,1730,0.1
266,584,0,64,670,0.1
267,1792,0,128,1760,0.1
268,1536,0,128,1570,0.1
269,1392,0,128,1420,0.1
270,1128,0,128,1250,0.1
271,1136,0,64,1310,0.1
272,1352,0,128,1340,0.1
273,576,0,32,750,0.1
274,5096,0,512,3810,0.1
275,1452,0,128,1450,0.1
276,1032,0,64,1280,0.1
277,724,0,64,890,0.1
278,796,0,64,880,0.1
279,1304,0,128,1250,0.1
280,1544,0,128,1580,0.1
281,596,0,64,670,0.1
282,1720,0,128,1760,0.1
283,2208,0,128,2120,0.1
284,1184,0,128,1200,0.1
285,860,0,64,910,0.1
286,1416,0,128,1530,0.1
287,4928,0,512,3870,0.1
288,1164,0,64,1350,0.1
289,552,0,64,680,0.1
290,1072,0,64,1240,0.1
291,1472,0,128,1460,0.1
292,2408,0,256,2210,0.1
293,2344,0,256,2060,0.1
294,1012,0,128,1040,0.1
295,2244,0,128,2220,0.1
296,2888,0,256,2490,0.1
297,888,0,128,860,0.1
298,3468,0,256,3110,0.1
299,2320,0,128,2290,0.1
300,3116,0,256,2700,0.1
301,1636,0,128,1760,0.1
302,2148,0,256,1860,0.1
303,1208,0,64,1490,0.1
304,712,0,64,840,0.1
305,2552,0,128,2470,0.1
306,1508,0,128,1560,0.1
307,2508,0,256,2240,0.1
308,3224,0,256,2840,0.1
309,1512,0,128,1520,0.1
310,3136,0,256,2700,0.1
311,884,0,64,1110,0.1
312,3056,0,256,2790,0.1
313,564,0,64,660,0.1
314,2432,0,256,2140,0.1
315,2460,0,256,2160,0.1
316,736,0,64,910,0.1
317,1444,0,128,1400,0.1
318,2172,0,128,2150,0.1
319,2520,0,256,2280,0.1
320,1752,0,128,1870,0.1
321,1396,0,128,1380,0.1
322,1136,0,128,1230,0.1
323,676,0,64,820,0.1
324,1560,0,128,1750,0.1
325,2476,0,256,2250,0.1
326,1408,0,128,1470,0.1
327,1788,0,128,1860,0.1
328,1512,0,128,1660,0.1
329,1456,0,128,1430,0.1
330,1488,0,128,1540,0.1
331,1728,0,128,1840,0.1
332,1220,0,128,1210,0.1
333,3272,0,256,2870,0.1
334,2936,0,256,2550,0.1
335,2356,0,256,2170,0.1
336,2584,0,256,2420,0.1
337,3352,0,256,3000,0.1
338,2396,0,128,2370,0.1
339,2220,0,128,2160,0.1
340,2224,0,128,2150,0.1
341,3076,0,256,2670,0.1
342,1840,0,128,1850,0.1
343,2076,0,128,2020,0.1
344,3028,0,256,2580,0.1
345,1440,0,128,1570,0.1
346,3376,0,256,2970,0.1
347,1244,0,128,1210,0.1
348,1372,0,128,1420,0.1
349,2984,0,256,2600,0.1
350,3036,0,256,2690,0.1
351,3072,0,256,2850,0.1
352,1264,0,128,1380,0.1
353,1012,0,128,1060,0.1
354,232,0,32,290,0.1
355,2020,0,128,1910,0.1
356,2172,0,256,1860,0.1
357,2596,0,256,2290,0.1
358,780,0,64,930,0.1
359,2624,0,256,2510,0.1
360,1228,0,128,1260,0.1
361,660,0,64,690,0.1
362,772,0,64,1000,0.1
363,704,0,64,870,0.1
364,2124,0,128,2060,0.1
365,1980,0,128,2010,0.1
366,2184,0,128,2270,0.1
367,2376,0,128,2310,0.1
368,1364,0,128,1540,0.1
369,2536,0,256,2260,0.1
370,2100,0,128,2100,0.1
371,1056,0,128,1050,0.1
372,748,0,64,930,0.1
373,3176,0,256,2850,0.1
374,2496,0,256,2240,0.1
375,1460,0,128,1490,0.1
376,1164,0,64,1440,0.1
377,2268,0,256,2030,0.1
378,4048,0,256,3290,0.1
379,1772,0,128,1810,0.1
380,2592,0,256,2420,0.1
381,2240,0,128,2190,0.1
382,1004,0,64,1130,0.1
383,928,0,64,1100,0.1
384,1364,0,128,1450,0.1
385,2588,0,256,2240,0.1
386,2556,0,256,2270,0.1
387,3052,0,256,2620,0.1
388,784,0,64,990,0.1
389,700,0,64,860,0.1
390,1972,0,128,1820,0.1
391,1440,0,128,1530,0.1
392,1396,0,128,1440,0.1
393,1820,0,128,1890,0.1
394,2292,0,256,1940,0.1
395,1388,0,128,1490,0.1
396,444,0,32,580,0.1
397,3096,0,256,2840,0.1
398,1776,0,128,1890,0.1
399,3864,0,256,3350,0.1
400,2672,0,256,2350,0.1
401,1336,0,128,1370,0.1
402,1748,0,128,1890,0.1
403,704,0,64,850,0.1
404,968,0,128,960,0.1
405,1016,0,64,1210,0.1
406,3372,0,256,3040,0.1
407,812,0,64,950,0.1
408,760,0,64,880,0.1
409,2852,0,256,2590,0.1
410,1144,0,128,1210,0.1
411,1624,0,128,1660,0.1
412,712,0,64,860,0.1
413,1480,0,128,1470,0.1
414,864,0,64,950,0.1
415,3024,0,256,2830,0.1
416,1020,0,64,1140,0.1
417,444,0,32,530,0.1
418,2768,0,256,2600,0.1
419,1172,0,64,1370,0.1
420,1340,0,128,1350,0.1
421,1584,0,128,1700,0.1
422,2792,0,256,2620,0.1
423,1364,0,64,1500,0.1
424,1988,0,128,2040,0.1
425,1888,0,128,1740,0.1
426,2456,0,256,2230,0.1
427,1828,0,128,1730,0.1
428,768,0,64,830,0.1
429,2352,0,128,2280,0.1
430,2820,0,256,2380,0.1
431,1308,0,128,1300,0.1
432,2036,0,256,1690,0.1
433,1980,0,128,2050,0.1
434,1012,0,64,1280,0.1
435,1528,0,128,1600,0.1
436,748,0,64,980,0.1
437,1756,0,128,1810,0.1
438,1620,0,128,1670,0.1
