Restart,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,280,0,32,400,0.1
2,576,0,32,720,0.1
3,1196,0,128,1230,0.1
4,1180,0,128,1230,0.1
5,1404,0,128,1410,0.1
6,580,0,64,730,0.1
7,2952,0,256,2600,0.1
8,548,0,64,630,0.1
9,2556,0,256,2260,0.1
10,4752,0,512,3710,0.1
11,2712,0,256,2410,0.1
12,488,0,32,630,0.1
13,2416,0,256,2150,0.1
14,748,0,64,900,0.1
15,828,0,64,960,0.1
16,1264,0,128,1240,0.1
17,740,0,64,920,0.1
18,360,0,32,470,0.1
19,708,0,64,890,0.1
20,864,0,64,1090,0.1
21,776,0,64,980,0.1
22,744,0,64,890,0.1
23,1128,0,128,1180,0.1
24,788,0,64,850,0.1
25,1844,0,128,1750,0.1
26,1104,0,64,1310,0.1
27,1204,0,128,1320,0.1
28,3164,0,256,2720,0.1
29,2372,0,128,2290,0.1
30,1416,0,128,1520,0.1
31,2412,0,256,2120,0.1
32,2072,0,256,1750,0.1
33,996,0,64,1120,0.1
34,2656,0,256,2220,0.1
35,552,0,64,630,0.1
36,392,0,32,550,0.1
37,632,0,64,740,0.1
38,1348,0,128,1360,0.1
39,856,0,64,1030,0.1
40,1276,0,128,1280,0.1
41,672,0,64,820,0.1
42,1420,0,128,1450,0.1
43,1416,0,128,1480,0.1
44,956,0,64,1130,0.1
45,3764,0,256,3080,0.1
46,1584,0,128,1740,0.1
47,1660,0,128,1640,0.1
48,2104,0,128,2150,0.1
49,1084,0,128,1100,0.1
50,1084,0,128,1110,0.1
51,2332,0,256,1890,0.1
52,420,0,32,520,0.1
53,1048,0,64,1160,0.1
54,1552,0,128,1610,0.1
55,428,0,32,530,0.1
56,1484,0,128,1610,0.1
57,2056,0,128,1960,0.1
58,496,0,64,550,0.1
59,2236,0,128,2240,0.1
60,2080,0,256,1780,0.1
61,692,0,64,850,0.1
62,1576,0,128,1660,0.1
63,2472,0,256,2220,0.1
64,1596,0,128,1670,0.1
65,780,0,64,910,0.1
66,1720,0,128,1830,0.1
67,1620,0,128,1550,0.1
68,1544,0,128,1650,0.1
69,1492,0,128,1550,0.1
70,1552,0,128,1630,0.1
71,1436,0,128,1440,0.1
72,772,0,64,870,0.1
73,1128,0,128,1110,0.1
74,1536,0,128,1590,0.1
75,2116,0,128,1920,0.1
76,712,0,64,860,0.1
77,956,0,64,1140,0.1
78,2492,0,256,2150,0.1
79,1596,0,128,1620,0.1
80,1612,0,128,1590,0.1
81,1648,0,128,1680,0.1
82,3200,0,256,2910,0.1
83,1636,0,128,1670,0.1
84,2124,0,128,1990,0.1
85,2740,0,256,2410,0.1
86,2032,0,256,1680,0.1
87,768,0,64,900,0.1
88,1832,0,128,1820,0.1
89,1560,0,128,1540,0.1
90,780,0,64,930,0.1
91,496,0,32,640,0.1
92,1556,0,128,1570,0.1
93,3156,0,256,2670,0.1
94,1872,0,128,1820,0.1
95,1976,0,128,1860,0.1
96,952,0,64,1100,0.1
97,1012,0,128,980,0.1
98,1324,0,128,1460,0.1
99,2028,0,128,1890,0.1
100,996,0,128,1080,0.1
101,1344,0,128,1350,0.1
102,1612,0,128,1590,0.1
103,1920,0,128,2000,0.1
104,1924,0,128,2050,0.1
105,748,0,64,920,0.1
106,1696,0,128,1740,0.1
107,3124,0,256,2740,0.1
108,2084,0,128,2000,0.1
109,1316,0,128,1470,0.1
110,1020,0,128,1030,0.1
111,728,0,64,860,0.1
112,696,0,64,800,0.1
113,1212,0,128,1230,0.1
114,468,0,32,670,0.1
115,940,0,64,1100,0.1
116,2936,0,256,2560,0.1
117,1124,0,128,1110,0.1
118,2080,0,256,1780,0.1
119,872,0,64,1080,0.1
120,1040,0,64,1240,0.1
121,744,0,64,910,0.1
122,1376,0,128,1450,0.1
123,308,0,32,460,0.1
124,1748,0,128,1850,0.1
125,1428,0,128,1480,0.1
126,2232,0,128,2230,0.1
127,1504,0,128,1490,0.1
128,1316,0,128,1360,0.1
129,1420,0,128,1380,0.1
130,1064,0,64,1240,0.1
