Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1092,0,128,1227,0.1
2,1512,0,128,3977,0.1
3,3336,0,256,11614,0.1
4,1436,0,128,2691,0.1
5,2028,0,128,3714,0.1
6,1796,0,128,2089,0.1
7,996,0,64,1277,0.1
8,1620,0,128,3112,0.1
9,1160,0,128,4797,0.1
10,1912,0,128,6758,0.1
11,3284,0,256,7100,0.1
12,1908,0,128,3224,0.1
13,1428,0,128,1381,0.1
14,2336,0,256,3336,0.1
15,2444,0,256,2789,0.1
16,2536,0,256,4426,0.1
17,672,0,64,693,0.1
18,2680,0,256,2126,0.1
19,1344,0,128,4127,0.1
20,836,0,64,1418,0.1
21,1748,0,128,2407,0.1
22,772,0,64,1489,0.1
23,1576,0,128,2114,0.1
24,2032,0,128,6522,0.1
25,1812,0,128,3766,0.1
26,1760,0,128,8671,0.1
27,876,0,64,1084,0.1
28,1316,0,128,2463,0.1
29,1412,0,128,3793,0.1
30,1432,0,128,2709,0.1
31,1928,0,128,11387,0.1
32,1524,0,128,3505,0.1
33,1988,0,128,7418,0.1
34,2508,0,256,7864,0.1
35,1480,0,128,1219,0.1
36,2816,0,256,3369,0.1
37,2628,0,256,7084,0.1
38,1008,0,64,1407,0.1
39,2212,0,128,4905,0.1
40,2804,0,256,11010,0.1
41,2532,0,256,3087,0.1
42,2900,0,256,13719,0.1
43,964,0,128,614,0.1
44,3160,0,256,26410,0.1
45,1420,0,128,2631,0.1
46,1056,0,64,4343,0.1
47,1556,0,128,2899,0.1
48,1076,0,64,3495,0.1
49,852,0,64,2028,0.1
50,1360,0,128,3453,0.1
51,1440,0,128,8671,0.1
52,1272,0,128,4091,0.1
53,1000,0,128,2410,0.1
54,2808,0,256,5146,0.1
55,3844,0,256,12109,0.1
56,1100,0,128,3857,0.1
57,1304,0,128,2697,0.1
58,3196,0,256,12114,0.1
59,3008,0,256,20682,0.1
60,416,0,32,220,0.1
61,1020,0,128,1991,0.1
62,1432,0,128,5605,0.1
63,900,0,64,3336,0.1
64,1148,0,128,1555,0.1
65,832,0,64,2706,0.1
66,2156,0,256,11003,0.1
67,608,0,64,786,0.1
68,1544,0,128,2093,0.1
69,2728,0,256,6265,0.1
70,804,0,64,1987,0.1
71,1028,0,64,1474,0.1
72,968,0,64,2271,0.1
73,912,0,64,3073,0.1
74,1140,0,128,2350,0.1
75,508,0,32,1362,0.1
76,2380,0,256,2629,0.1
77,724,0,64,1114,0.1
78,748,0,64,1752,0.1
79,440,0,32,411,0.1
80,1384,0,128,2845,0.1
81,1088,0,64,2677,0.1
82,1668,0,128,8063,0.1
83,900,0,64,1192,0.1
84,2864,0,256,7735,0.1
85,252,0,32,555,0.1
86,1044,0,64,2643,0.1
87,1296,0,128,2770,0.1
88,2496,0,256,3301,0.1
89,556,0,64,495,0.1
90,588,0,64,2047,0.1
91,748,0,64,2103,0.1
92,304,0,32,488,0.1
93,812,0,64,1655,0.1
94,396,0,32,653,0.1
95,1572,0,128,2510,0.1
96,1424,0,128,2217,0.1
97,1412,0,128,2293,0.1
98,1772,0,128,4706,0.1
99,1316,0,128,7136,0.1
100,1436,0,128,1930,0.1
101,1036,0,64,2561,0.1
102,2736,0,256,4515,0.1
103,3564,0,256,26067,0.1
104,1236,0,128,912,0.1
105,1700,0,128,7451,0.1
106,2704,0,256,13288,0.1
107,892,0,64,1111,0.1
108,1204,0,128,4402,0.1
109,1544,0,128,2471,0.1
110,3864,0,256,8360,0.1
111,2444,0,256,6415,0.1
112,1344,0,128,874,0.1
113,1628,0,128,1338,0.1
114,1324,0,128,6690,0.1
115,1160,0,128,1626,0.1
116,820,0,64,1394,0.1
117,1264,0,128,2701,0.1
118,1128,0,128,1280,0.1
119,1852,0,128,4406,0.1
120,1568,0,128,2671,0.1
121,1752,0,128,2388,0.1
122,1168,0,128,933,0.1
123,2428,0,128,8588,0.1
124,3044,0,256,2641,0.1
125,1104,0,64,1544,0.1
