Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,824,28,64,1210,0.9342286880693633
2,1400,28,128,2050,0.7833919908382508
3,1364,23,128,2160,0.6641783033340387
4,2120,28,256,2790,0.5393941542601555
5,756,24,64,1290,0.47598390063456947
6,784,19,64,1170,0.4234034438366067
7,1172,50,128,960,0.35539787412304774
8,1096,24,128,1190,0.30709737673437937
9,632,30,64,250,0.2726272140335106
10,456,27,64,-500,0.24840458664265946
11,584,34,64,-300,0.2216283271062282
12,280,7,32,550,0.20871543237179296
13,724,50,64,-1030,0.17998935445416622
14,828,50,64,-1150,0.15490664686436975
15,256,50,32,-2680,0.14086121649682523
16,348,8,32,650,0.13172831780548902
17,376,50,32,-4350,0.11705952472752763
18,624,50,64,-2010,0.10226986131454316
19,568,50,64,-1860,0.08997672052573072
20,644,50,64,-3630,0.07860878259263916
21,492,50,64,-3400,0.06971554993749822
22,732,50,64,-7010,0.06078571710153414
23,400,29,32,-570,0.05521898433439589
24,544,50,64,-4080,0.0489229334326666
25,272,50,32,-4580,0.044176600076762176
26,704,50,64,-4380,0.0384026010189007
27,432,31,64,-2530,0.034920626103932574
28,660,31,64,-1160,0.03100095841995913
29,536,50,64,-5720,0.027466239073575264
30,304,50,32,-2820,0.024653121969839265
31,456,50,32,-2090,0.021820338720759277
32,228,50,32,-3940,0.02002135542224419
33,440,29,64,-1330,0.018279019827489446
34,316,50,32,-7130,0.016406866047042976
35,332,50,32,-5480,0.014829958754552916
36,976,50,128,-5420,0.012763305867568336
37,484,50,64,-7590,0.011319357179071041
38,224,0,32,620,0.01082103332073154
39,220,50,32,-12030,0.009998671593271896
40,200,50,32,-5900,0.009998671593271896
41,500,50,64,-3690,0.009998671593271896
42,1028,50,128,-6270,0.009998671593271896
43,612,50,64,-6130,0.009998671593271896
44,220,50,32,-5170,0.009998671593271896
45,512,50,64,-5920,0.009998671593271896
46,216,50,32,-6870,0.009998671593271896
47,324,44,32,-8920,0.009998671593271896
48,568,50,64,-7800,0.009998671593271896
49,916,50,128,-2710,0.009998671593271896
50,400,50,32,-2960,0.009998671593271896
51,524,50,32,-7130,0.009998671593271896
52,156,50,16,-12100,0.009998671593271896
53,576,50,64,-5380,0.009998671593271896
54,440,50,64,-4980,0.009998671593271896
55,224,50,32,-5870,0.009998671593271896
56,292,50,32,-5820,0.009998671593271896
57,552,50,64,-7750,0.009998671593271896
58,236,50,32,-7250,0.009998671593271896
59,184,14,16,-40,0.009998671593271896
60,1080,50,128,-3350,0.009998671593271896
61,552,1,64,1180,0.009998671593271896
62,228,23,16,-2090,0.009998671593271896
