Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1316,0,128,1280,0.960693043575437
2,592,0,64,710,0.6433260027715241
3,1128,0,128,1230,0.3507711574848344
4,768,0,64,910,0.21248679717794605
5,412,0,32,590,0.15111286553822956
6,1660,0,128,1620,0.06542683706543727
7,1720,0,128,1760,0.027765323199097504
8,580,0,64,680,0.018592988164936427
9,2264,0,128,2280,0.00629701363851236
10,288,0,32,360,0.004975301787985069
11,2576,0,128,2510,0.004975301787985069
12,980,0,128,920,0.004975301787985069
13,1060,0,64,1240,0.004975301787985069
14,432,0,64,470,0.004975301787985069
15,1932,0,128,1800,0.004975301787985069
16,560,0,64,720,0.004975301787985069
17,860,0,64,1090,0.004975301787985069
18,624,0,64,760,0.004975301787985069
19,1132,0,64,1300,0.004975301787985069
20,272,0,32,330,0.004975301787985069
1,632,0,64,750,1.0
2,2828,0,256,2868,0.3800621177172763
3,360,0,32,450,0.27853872940185365
4,1660,0,128,1862,0.11999500148501063
5,476,0,32,610,0.08198177029173696
6,2860,0,256,2878,0.024741930939380097
7,2356,0,256,2468,0.009170723045189946
8,1328,0,128,1492,0.004975301787985069
9,708,0,64,924,0.004975301787985069
10,800,0,64,810,0.004975301787985069
11,2184,0,256,2278,0.004975301787985069
12,1272,0,128,1358,0.004975301787985069
13,1400,0,128,1642,0.004975301787985069
14,680,0,64,924,0.004975301787985069
15,1332,0,128,1492,0.004975301787985069
16,1032,0,64,1214,0.004975301787985069
17,864,0,64,1054,0.004975301787985069
18,2592,0,256,2648,0.004975301787985069
19,1052,0,128,1162,0.004975301787985069
20,696,0,64,754,0.004975301787985069
21,824,0,64,1014,0.004975301787985069
22,496,0,32,646,0.004975301787985069
23,1428,0,128,1652,0.004975301787985069
24,1008,0,64,1174,0.004975301787985069
25,1140,0,128,1352,0.004975301787985069
26,1388,0,128,1572,0.004975301787985069
27,896,0,64,1084,0.004975301787985069
28,1088,0,128,1202,0.004975301787985069
29,1020,0,64,1230,0.004975301787985069
30,488,0,32,640,0.004975301787985069
31,804,0,64,1064,0.004975301787985069
32,1180,0,128,1402,0.004975301787985069
33,564,0,64,694,0.004975301787985069
34,656,0,64,800,0.004975301787985069
1,660,0,64,800,1.0
2,1932,0,128,2048,0.4932355662165453
3,1268,0,128,1398,0.25450776877280124
4,708,0,64,914,0.1580861105294992
5,996,0,64,1204,0.08750185146499175
6,260,0,32,336,0.06844601986126451
7,984,0,64,1200,0.03769595998025326
8,484,0,32,650,0.025497353542912736
9,364,0,32,520,0.018407523107991184
10,632,0,64,654,0.01184203826198843
11,696,0,64,820,0.007504587192205264
12,1052,0,128,1252,0.004975301787985069
13,1052,0,64,1290,0.004975301787985069
14,1320,0,128,1512,0.004975301787985069
15,1348,0,128,1492,0.004975301787985069
16,444,0,32,566,0.004975301787985069
17,1440,0,128,1692,0.004975301787985069
18,1336,0,128,1468,0.004975301787985069
19,632,0,64,724,0.004975301787985069
20,2348,0,256,2238,0.004975301787985069
21,848,0,64,1054,0.004975301787985069
22,3364,0,256,3448,0.004975301787985069
23,1124,0,128,1308,0.004975301787985069
24,812,0,64,964,0.004975301787985069
25,1180,0,128,1352,0.004975301787985069
26,1248,0,128,1538,0.004975301787985069
27,1304,0,128,1478,0.004975301787985069
28,2544,0,256,2658,0.004975301787985069
29,1248,0,128,1508,0.004975301787985069
30,568,0,64,644,0.004975301787985069
31,1572,0,128,1752,0.004975301787985069
32,348,0,32,510,0.004975301787985069
33,700,0,64,934,0.004975301787985069
34,1360,0,128,1428,0.004975301787985069
35,1524,0,128,1772,0.004975301787985069
36,1276,0,128,1532,0.004975301787985069
37,704,0,64,874,0.004975301787985069
38,764,0,64,994,0.004975301787985069
39,992,0,128,1168,0.004975301787985069
40,560,0,64,650,0.004975301787985069
41,1248,0,128,1352,0.004975301787985069
42,1396,0,128,1612,0.004975301787985069
43,2680,0,256,2878,0.004975301787985069
44,1012,0,128,1172,0.004975301787985069
45,1620,0,128,1812,0.004975301787985069
46,1168,0,128,1342,0.004975301787985069
47,1500,0,128,1732,0.004975301787985069
48,1284,0,128,1492,0.004975301787985069
49,924,0,64,1054,0.004975301787985069
50,928,0,64,1070,0.004975301787985069
51,488,0,32,630,0.004975301787985069
52,1372,0,128,1552,0.004975301787985069
53,640,0,64,830,0.004975301787985069
54,1220,0,128,1312,0.004975301787985069
55,804,0,64,1020,0.004975301787985069
56,932,0,64,1124,0.004975301787985069
57,1028,0,128,1232,0.004975301787985069
58,580,0,64,670,0.004975301787985069
59,980,0,64,1210,0.004975301787985069
60,752,0,64,810,0.004975301787985069
61,844,0,64,1124,0.004975301787985069
62,1388,0,128,1552,0.004975301787985069
63,688,0,64,824,0.004975301787985069
64,1284,0,128,1422,0.004975301787985069
65,1072,0,64,1260,0.004975301787985069
66,1168,0,64,1320,0.004975301787985069
67,584,0,64,694,0.004975301787985069
68,200,0,16,244,0.004975301787985069
69,1572,0,128,1648,0.004975301787985069
70,1252,0,128,1282,0.004975301787985069
71,1176,0,128,1352,0.004975301787985069
72,1036,0,128,1162,0.004975301787985069
73,2000,0,256,2034,0.004975301787985069
74,1212,0,128,1452,0.004975301787985069
75,1984,0,128,2132,0.004975301787985069
76,1416,0,128,1592,0.004975301787985069
77,1492,0,128,1738,0.004975301787985069
78,588,0,64,744,0.004975301787985069
79,2900,0,256,2938,0.004975301787985069
80,832,0,64,860,0.004975301787985069
81,2264,0,256,2368,0.004975301787985069
82,924,0,64,1114,0.004975301787985069
83,624,0,64,834,0.004975301787985069
84,328,0,32,496,0.004975301787985069
85,1220,0,128,1458,0.004975301787985069
86,716,0,64,904,0.004975301787985069
87,616,0,64,794,0.004975301787985069
88,1948,0,128,2082,0.004975301787985069
89,1036,0,128,1182,0.004975301787985069
90,1248,0,128,1192,0.004975301787985069
91,1284,0,128,1552,0.004975301787985069
92,808,0,64,994,0.004975301787985069
93,1500,0,128,1772,0.004975301787985069
94,636,0,64,764,0.004975301787985069
95,572,0,64,664,0.004975301787985069
96,1344,0,128,1598,0.004975301787985069
97,1284,0,128,1422,0.004975301787985069
98,648,0,64,854,0.004975301787985069
99,1012,0,128,1158,0.004975301787985069
100,632,0,64,684,0.004975301787985069
101,1108,0,64,1334,0.004975301787985069
102,1300,0,128,1502,0.004975301787985069
103,1028,0,64,1254,0.004975301787985069
104,564,0,64,680,0.004975301787985069
105,1404,0,128,1598,0.004975301787985069
106,876,0,64,1084,0.004975301787985069
107,852,0,64,1084,0.004975301787985069
108,872,0,64,1064,0.004975301787985069
109,1056,0,128,1312,0.004975301787985069
110,456,0,32,630,0.004975301787985069
111,740,0,64,924,0.004975301787985069
112,628,0,64,780,0.004975301787985069
113,1024,0,64,1154,0.004975301787985069
114,184,0,16,258,0.004975301787985069
115,1416,0,128,1588,0.004975301787985069
116,1016,0,128,1158,0.004975301787985069
117,872,0,64,1014,0.004975301787985069
118,704,0,64,924,0.004975301787985069
119,1004,0,64,1284,0.004975301787985069
120,672,0,64,774,0.004975301787985069
121,1400,0,128,1532,0.004975301787985069
122,752,0,64,864,0.004975301787985069
123,676,0,64,954,0.004975301787985069
124,1096,0,128,1262,0.004975301787985069
125,1284,0,128,1502,0.004975301787985069
126,2804,0,256,2818,0.004975301787985069
127,1484,0,128,1672,0.004975301787985069
128,1528,0,128,1722,0.004975301787985069
129,2144,0,128,2322,0.004975301787985069
